08-final-checkpoint-checker  | listening,/ip4/127.0.0.1/tcp/9091/p2p/12D3KooWDj4uNjMpUtESkyJa2ZB6DtXg5PKC4pTUptJixE7zo9gB
08-final-checkpoint-checker  | listening,/ip4/172.16.16.17/tcp/9091/p2p/12D3KooWDj4uNjMpUtESkyJa2ZB6DtXg5PKC4pTUptJixE7zo9gB
08-final-checkpoint-checker  | error,NoPeersSubscribedToTopic
08-final-checkpoint-checker  | error,NoPeersSubscribedToTopic
08-final-checkpoint-checker  | incoming,/ip4/172.16.16.17/tcp/9091,/ip4/172.16.16.16/tcp/35618
08-final-checkpoint-checker  | connected,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,/ip4/172.16.16.16/tcp/35618
08-final-checkpoint-checker  | identify,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,js-libp2p/3.0.7 node/22.21.1
08-final-checkpoint-checker  | kademlia,unroutable 12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,9 ms
08-final-checkpoint-checker  | subscribe,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,universal-connectivity
08-final-checkpoint-checker  | subscribe,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,universal-connectivity-workshop-js-peer-discovery
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,1 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,1 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,0 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | error,universal-connectivity
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,1 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,2 ms
08-final-checkpoint-checker  | ping,12D3KooWDseuU254J9dATowXkdhh1CoLVcb6a67GSbuqE98CdPkE,1 ms
